raw,n,sexes,id,canonical,group,indoor,implement_kg,barrier_cm,spacing_m,age_band,rankable,lower_better,confidence,note
800 Metres,59656,FM,800m,800m,middle,False,,,,,True,True,OK,
Long Jump,58959,FM,long_jump,Long Jump,jump,False,,,,,True,False,OK,
1500 Metres,58874,FM,1500m,1500m,middle,False,,,,,True,True,OK,
400 Metres,57987,FM,400m,400m,sprint,False,,,,,True,True,OK,
Pole Vault,56316,FM,pole_vault,Pole Vault,jump,False,,,,,True,False,OK,
Shot Put,55932,FM,shot_put,Shot Put,throw,False,,,,,True,False,OK,
High Jump,52693,FM,high_jump,High Jump,jump,False,,,,,True,False,OK,
Discus Throw,49272,FM,discus_throw,Discus Throw,throw,False,,,,,True,False,OK,
200 Metres,47720,FM,200m,200m,sprint,False,,,,,True,True,OK,
Triple Jump,42824,FM,triple_jump,Triple Jump,jump,False,,,,,True,False,OK,
100 Metres,39783,FM,100m,100m,sprint,False,,,,,True,True,OK,
400 Metres Hurdles,38679,FM,400m_hurdles,400m Hurdles,hurdles,False,,,,,True,True,OK,
Hammer Throw,38507,FM,hammer_throw,Hammer Throw,throw,False,,,,,True,False,OK,
Javelin Throw,35277,FM,javelin_throw,Javelin Throw,throw,False,,,,,True,False,OK,
5000 Metres,34944,FM,5000m,5000m,distance,False,,,,,True,True,OK,
100 Metres Hurdles,33195,FM,100m_hurdles,100m Hurdles,hurdles,False,,,,,True,True,OK,
60 Metres Hurdles,27618,FM,60m_hurdles,60m Hurdles,hurdles,False,,,,,True,True,OK,
110 Metres Hurdles,26061,FM,110m_hurdles,110m Hurdles,hurdles,False,,,,,True,True,OK,
3000 Metres Steeplechase,22128,FM,3000m_steeplechase,3000m Steeplechase,distance,False,,,,,True,True,OK,
Half Marathon,21015,FM,half_marathon,Half Marathon,road,False,,,,,True,True,OK,
Marathon,19031,FM,marathon,Marathon,road,False,,,,,True,True,OK,
60 Metres,18826,FM,60m,60m,sprint,False,,,,,True,True,OK,
10 Kilometres Road,17552,FM,10_km_road,10 km Road,road,False,,,,,True,True,OK,
3000 Metres,17380,FM,3000m,3000m,distance,False,,,,,True,True,OK,
"10,000 Metres",14263,FM,10000m,10000m,distance,False,,,,,True,True,OK,
4x400 Metres Relay,14164,FM,4x400m_relay,4x400m Relay,relay,False,,,,,False,True,OK,
400 Metres Short Track,14139,FM,400m_indoor,400m,sprint,True,,,,,True,True,OK,
800 Metres Short Track,11769,FM,800m_indoor,800m,middle,True,,,,,True,True,OK,
4x100 Metres Relay,11256,FM,4x100m_relay,4x100m Relay,relay,False,,,,,False,True,OK,
3000 Metres Short Track,9886,FM,3000m_indoor,3000m,distance,True,,,,,True,True,OK,
1500 Metres Short Track,9769,FM,1500m_indoor,1500m,middle,True,,,,,True,True,OK,
200 Metres Short Track,8983,FM,200m_indoor,200m,sprint,True,,,,,True,True,OK,
Mile,4108,FM,mile,Mile,middle,False,,,,,True,True,OK,
5 Kilometres Road,3214,FM,5_km_road,5 km Road,road,False,,,,,True,True,OK,
4x400 Metres Relay Short Track,2870,FM,4x400m_relay_indoor,4x400m Relay,relay,True,,,,,False,True,OK,
Cross Country Senior Race,2861,FM,cross_country_senior_race,Cross Country Senior Race,xc,False,,,,,True,True,OK,
Mile Short Track,2858,FM,mile_indoor,Mile,middle,True,,,,,True,True,OK,
15 Kilometres Road,2551,FM,15_km_road,15 km Road,road,False,,,,,True,True,OK,
1000 Metres,1980,FM,1000m,1000m,middle,False,,,,,True,True,OK,
Weight Throw,1758,FM,weight_throw,Weight Throw,throw,False,,,,,True,False,OK,
10 Miles Road,1714,FM,10_miles_road,10 Miles Road,road,False,,,,,True,True,OK,
Cross Country,1646,FM,cross_country,Cross Country,xc,False,,,,,True,True,OK,
300 Metres,1622,FM,300m,300m,sprint,False,,,,,True,True,OK,
Cross Country U20 Race,1521,FM,cross_country_u20_race,Cross Country U20 Race,xc,False,,,,,True,True,OK,
Javelin Throw (old),1517,FM,javelin_throw_old,Javelin Throw,throw,False,,,,,True,False,OK,pre-1986 javelin spec
Cross Country Long Race,1504,FM,cross_country_long_race,Cross Country Long Race,xc,False,,,,,True,True,OK,
1000 Metres Short Track,1395,FM,1000m_indoor,1000m,middle,True,,,,,True,True,OK,
Mile Road,1369,FM,mile_road,Mile Road,road,False,,,,,True,True,OK,
300 Metres Short Track,1281,FM,300m_indoor,300m,sprint,True,,,,,True,True,OK,
